epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.762,1.55608,2.52503,1.57846,1.36856,0.09701,0.58039,0.07591,0.0341,0.09087,0.54029,0.06639,0.02328,1.83873,4.66219,inf,1.83051,0.000658228,0.000658228,0.000658228
2,302.654,1.54265,2.33995,1.33187,1.33608,0.02516,0.47082,0.01855,0.00917,0.02297,0.42001,0.01544,0.00637,2.11085,9.36329,inf,2.33409,0.00131178,0.00131178,0.00131178
3,452.95,1.54261,2.37791,1.28884,1.33244,0.55325,0.50933,0.4973,0.25655,0.54493,0.48472,0.46517,0.19393,1.7307,2.8186,3.1308,1.63953,0.00195213,0.00195213,0.00195213
4,603.751,1.50925,2.25868,1.217,1.31634,0.53128,0.46842,0.45314,0.22886,0.54615,0.47151,0.46769,0.20001,1.84856,2.59306,2.32924,1.68519,0.0019406,0.0019406,0.0019406
5,753.99,1.47085,2.21527,1.16466,1.28865,0.6662,0.6077,0.63702,0.3726,0.68014,0.58515,0.62466,0.31174,1.51463,2.45886,1.44834,1.43503,0.0019208,0.0019208,0.0019208
6,904.723,1.43374,2.13772,1.12126,1.26635,0.67365,0.63755,0.66367,0.38872,0.67746,0.63319,0.66539,0.34661,1.47455,2.10887,1.17377,1.36906,0.001901,0.001901,0.001901
7,1055.62,1.39854,2.08688,1.08951,1.24881,0.6888,0.63914,0.64618,0.38749,0.68906,0.63279,0.64509,0.34009,1.41112,2.0636,1.30333,1.32538,0.0018812,0.0018812,0.0018812
8,1205.8,1.36395,2.03575,1.04166,1.22313,0.70444,0.65002,0.69863,0.41533,0.70535,0.64073,0.68437,0.35799,1.37481,2.07688,1.28228,1.28003,0.0018614,0.0018614,0.0018614
9,1356.5,1.34723,1.98564,1.00917,1.22161,0.71865,0.68281,0.7067,0.43405,0.71863,0.67527,0.69959,0.37604,1.36204,1.98593,1.07192,1.29394,0.0018416,0.0018416,0.0018416
10,1507.32,1.3279,1.98821,0.98444,1.20226,0.7313,0.65145,0.68322,0.42015,0.72872,0.65701,0.67706,0.35991,1.34353,2.04599,1.09997,1.26631,0.0018218,0.0018218,0.0018218
